page,product_id,brand,product_name,model_code,price,feature,cpu,display_size,memory,storage_detail,od,gpu,weight,warranty,os,wifi,product_url
3,QCRAL034,Acer 宏碁,AL15-43P-R2RN 15.6吋 R7 纖薄筆電 白色,AL15-43P-R2RN,19900,白色美型 / 15.6吋 / IPS 大螢幕 / 可擴充記憶體,R7-5825U,15.6吋 FHD IPS,8GB DDR4,512GB PCIe SSD,NA,UHD,1.7 kg,台灣2年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRAL034.html
3,QACM0030X,Acer 宏碁,AM16-54P-50WF 16吋 特仕版筆電 金色｜升16G,AM16-54P-50WF,24199,特仕機 下單既已同意拆箱加裝商品 / 加裝8G RAM 合計16G RAM / 已開機測試 沒問題,Intel Core 5 processor 120U,16吋,,,,,1.53 kg,2年保固,Windows 11,,https://www.sanjing3c.com.tw/prod-QACM0030X.html
3,QCGV0028B,ASUS 華碩,X1704VA-0081B120U 17.3吋 C5-120U 筆電 午夜藍,X1704VA-0081B120U,23999,可180度開合/軍規認證/ 可升級記憶體,Intel Core 5 Processor 120U,17.3吋,,512GB M.2 NVMe PCIe 4.0 SSD,無,Intel Iris Xe,1.8KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 6E  (802.11ax+Bluetooth 5.3 (Dual band) 2*2,https://www.sanjing3c.com.tw/prod-QCGV0028B.html
3,QCGV0050A,ASUS 華碩,M5406NA-0078C7535HS OLED 14吋 R5 筆電 玫瑰金,M5406NA-0078C7535HS,26999,IR Webcam支援人臉辨識/ IceCool散熱技術+雙風扇/專屬 Copilot 鍵/75WHrs大電量 / 單區 RGB 背光鍵盤與加大觸控板/PD充電 /可180度開合 /軍規認證/全機金屬,AMD Ryzen 5 7535HS,14吋 FHD (1920 x 1200) OLED 16:10,16GB LPDDR5X on board,512GB M.2 PCIe 4.0  SSD,無,AMD Radeon Graphics,1.3KG,2年保固/首年一次完美保固,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCGV0050A.html
3,QCRAN029,Acer 宏碁,ANV15-51-53QM 15.6吋 i5 RTX2050 電競筆電【福利良品】,ANV15-51-53QM,21900,165Hz 至霸視界 / 雙風扇高效致冷 / 3毫秒反應時間 / 82.64%屏佔比,Intel Core i5-13420H,15.6吋 FHD 1920x1080 IPS 165Hz 霧面,16GB DDR5,512GB PCIe NVMe SSD,NA,RTX2050-4G GDDR6,2.113 kg,台灣2年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCRAN029.html
3,QHPS0048,HP 惠普,超品 15-fc0449AU 15.6吋 R5 輕巧效能筆電｜星河銀,超品,18900,長效續航支援快充，最快45分鐘充達50%電力,AMD Ryzen 5-7530U,15.6吋,,512G PCIe  Gen4x4 NVMe SSD,NA,AMD Radeon Graphics,1.59kg,全球保固一年(台灣本島到府收送),Windows 11 HOME,,https://www.sanjing3c.com.tw/prod-QHPS0048.html
3,QMSCR047,MSI 微星,B2RWFKG-018TW 17.3吋 C7 RTX5060 電競筆電,B2RWFKG-018TW,37900,獨家微星AI智慧引擎,Intel Core 7 240H,17.3吋,,,,"NVIDIA GeForce RTX 5060 Laptop GPU, GDDR7 8GB",2.5 kg,2年(全球1年),Windows 11 Home 家用版,,https://www.sanjing3c.com.tw/prod-QMSCR047.html
3,QROTU0059,ASUS 華碩,TUF FA707NUG-0122A7445HS 17.3吋 R7 RTX4050 電競筆電,TUF,29999,全新刀鋒式3D風扇 / 0分貝風散寂靜模式,AMD Ryzen 7 7445HS,17.3吋,,,,NVIDIA GeForce RTX 4050 6GB GDDR6 (具備MUX獨顯直連),2.60 Kg,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.3,Windows 11 Home,TUF M3 電競滑鼠,https://www.sanjing3c.com.tw/prod-QROTU0059.html
3,QCGV0061A,ASUS 華碩,V3607VM-0041K210H 16吋 C5 RTX5060 筆電 靜謐黑,V3607VM-0041K210H,36999,雙風扇/2散熱管/雙通風口 搭配IceCool散熱/180度開合/軍規認證 / 藍光背光鍵盤搭配WASD+上下左右透明/PD充電/HDMI 2.1,Intel Core 5 Processor 210H 2.2 GHz,16吋 FHD (1920 x 1200) IPS 16:10  144Hz,16GB DDR5 SO-DIMM,512GB M.2 NVM  PCIe 4.0 SSD 可換,無,NVIDIA GeForce RTX5060 Laptop GPU 8GB GDDR7,1.95KG,2年保固/首年一次完美保固,Windows 11 HOME,Wi-Fi 6E  (802.11ax+Bluetooth 5.3 (Dual band) 2*2,https://www.sanjing3c.com.tw/prod-QCGV0061A.html
3,QCRAL008,Acer 宏碁,Aspire Lite AL16-52P-58ZE 16吋 i5 文書筆電【福利良品】,Aspire,17900,16吋大尺寸螢幕 180度攤平 具Copilot Key,Intel Core i5-1334U,16吋,,512GB PCIe Gen4 SSD,NA,Intel HD Graphics,1.7 kg,台灣2年,Windows 11 Home,不附鼠包,https://www.sanjing3c.com.tw/prod-QCRAL008.html
3,QCRAL061,Acer 宏碁,AL15-42P-R179 15.6吋 R7 輕薄筆電 藍色,AL15-42P-R179,20900,15.6吋IPS大螢幕 84.5%高屏占比 / 可擴充記憶體 180度攤平 具Copilot Key,R7-7730U,15.6吋 FHD IPS,16GB DDR4,,,AMD Radeon Graphics,1.7kg,台灣2年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRAL061.html
3,QCRAN048,Acer 宏碁,ANV15-41-R8LS 15.6吋 R5 RTX4050 電競筆電,ANV15-41-R8LS,26900,標準電壓處理器 雙風扇三散熱管,標準電壓處理器 雙風扇三散熱管 / AMD Ryzen 5 6600H 3.3 GHz/4.5 GHz,15.6吋,,,,NVIDIA GeForce RTX4050-6G-GDDR6,2.1 kg,台灣2年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCRAN048.html
3,QROST0015,ASUS 華碩,G835LX-0021A275HX-NBLM 18吋 U9 RTX5090 電競筆電,G835LX-0021A275HX-NBLM,129999,Wi-Fi 7(802.11be)+ Bluetooth 5.4,Intel Core Ultra 9 Processor 275HX 2.7 GHz,18吋,,2TB PCIe 4.0 NVMe M.2 Performance SSD,NA,NVIDIA GeForce RTX 5090 Laptop GPU 24GB GDDR7,3.48Kg,2年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QROST0015.html
3,QCGV0047A,ASUS 華碩,X1500KA-0441KN6000 15.6吋 N6000 筆電 搖滾黑,X1500KA-0441KN6000,14900,15吋 文書機入門首選/ FHD (1920 x 1080) 16:9 / 可擴充2.5吋 SATA硬碟,Intel Pentium Silver N6000 Processor 1.1 GHz,15.6吋 FHD 1920x1080,"8GB DDR4 SO-DIMM (1slot可擴充/己佔用,Max.8G)",512GB M.2 NVMe PCIe 3.0 SSD,無,Intel UHD  Graphics,2年(首年完美保固),"1.7 kg/沒有 附 包包 , 滑鼠",Windows 11 HOME 64 Bits,,https://www.sanjing3c.com.tw/prod-QCGV0047A.html
3,QCRA10011,Acer 宏碁,Aspire A15-41M-R8N3 15.6吋 R7 AI 筆電 灰色,Aspire,20900,金屬上蓋，薄型設計 / 15.6吋大尺寸IPS螢幕/AMD最新AI處理器,15.6吋大尺寸IPS螢幕/AMD最新AI處理器 / AMD Ryzen 7 8840HS/4奈米/3.3 GHz/5.1 GHz,15.6吋 IPS,霧面/LED背光/8GB DDR5(Onboard)1/MAX 16GB,512GB PCIe Gen4 SSD,NA,AMD Radeon Graphics,1.65 kg,台灣2年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCRA10011.html
3,QCRAM002,Acer 宏碁,AM16-54P-50WF 16吋 C5 文書筆電｜金色,AM16-54P-50WF,23900,大螢幕 /連接埠齊全，有RJ45/可擴充第二支SSD,Intel Core 5 processor 120U,16吋,,,,UMA,1.53 kg,2年保固,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRAM002.html
3,QCRAN038,Acer 宏碁,ANV15-52-598T 15.6吋 i5 RTX4050 電競筆電 黑色【福利良品】,ANV15-52-598T,29900,第13代H處理器+RTX40系列顯示卡 / 雙風扇+三導熱管設計,第13代H處理器+RTX40系列顯示卡 / Intel Core i5-13420H,15.6吋 IPS,霧面/165Hz/16GB DDR5/2/MAX32GB,,,第13代H處理器+RTX40系列顯示卡 / NVIDIA GeForce RTX 4050,2.113 kg,台灣2年,Win 11,,https://www.sanjing3c.com.tw/prod-QCRAN038.html
3,QCRAN045,Acer 宏碁,ANV15-52-53GB 15.6吋 i5 RTX5060 電競筆電,ANV15-52-53GB,34611,標準電壓處理器 雙風扇三散熱管 / NitroSense一鍵掌控 Copilot key,標準電壓處理器 雙風扇三散熱管 / Intel Core i5-13420H,15.6吋 FHD 1920x1080 IPS 165Hz 霧面,16GB DDR4,,,RTX5060-8G-GDDR7,2.113kg,台灣2年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRAN045.html
3,QHPS0055,HP 惠普,OmniBook 7 AI 13-bg1089AU 13.3吋輕薄筆電｜靜謐白,OmniBook,33900,"不到1kg的Copilot+ PC 鋁鎂合金A/C/D面, 搭配全機靜謐白",AMD Ryzen AI 5 340,13.3吋,,,,AMD Radeon 840M Graphics 支援 AMD FreeSync,0.97KG,第一年國際有限保固+第二年台灣地區保固(包含零件與人工)/第一年台灣本島到府收送,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QHPS0055.html
3,QMSGM072,MSI 微星,Modern 15 H C13M-266TW 15.6吋 i5 商務筆電【福利良品】,Modern,16999,支援USB-C PD 快速充電與DP多螢幕輸出,Intel Core i5-13420H 八核心處理器,15.6吋,,,,Intel Iris Xe,1.8kg,Windows 11 Home/2年(全球1年),Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QMSGM072.html
